VENDOR_NAME,STREET,CITY,STATE,ZIP,PHONE,PASSES,TOKENS,COUPONS,RESTRICTIONS
Foothill Transit,3501 Santa Anita Ave. 2nd Floor,El Monte,CA,91731,8007433463,Metro Foothill Transit,Yes,Both,None
Foothill Transit,200 W. First Street,Claremont,CA,91711,8007433463,Metro Foothill Transit,Yes,Both,None
Foothill Transit,100 S. Vincent Ave.,West Covina,CA,91790,8007433463,Metro Foothill Transit,Yes,Both,None
Four Aces Market,1111 N. Western Ave.,Los Angeles,CA,90029,3234678494,Metro,Yes,No,None
Garden Liquor,1479 W. Washington Blvd.,Los Angeles,CA,90007,2137499993,Metro,No,RRTC,None
Gardena Municipal Bus Lines,13999 S. Western Ave.,Gardena,CA,90249,3109658888,None,Gardena Tokens Only,No,Stored Value and EZ Pass Only
Gas Tower,555 West 5th St.,Los Angeles,CA,90013,2136134410,Foothill Transit,,,
Glendora Transportation Services,410 E. Dalton Ave.,Glendora,CA,91741,6268524814,Metro,,,
Globe Check Cashing,13439 Osborne St. #11,Arleta,CA,91331,8188968585,Metro,Yes,No,No EZ Passes
Grace Super Market,5500 Compton Ave.,Los Angeles,CA,90011,3232345990,Metro,Yes,,
Green Circle Market,1840 W. 3rd Street,Los Angeles,CA,90057,2134836343,Metro,Yes,RRTC,None
Guadalajara Chk Cashing,2524 S. Central Ave.,Los Angeles,CA,90011,3232333900,Metro,Yes,Both,None
Guadalajara Chk Cashing,2514 E. 1st St.,Los Angeles,CA,90033,3235264213,Metro,Yes,RRTC,None
Gumbo Market,1610 E. Vernon Ave.,Los Angeles,CA,90011,3232321917,Metro,Yes,,
Hancore Investments,2600 N. Figueroa,Los Angeles,CA,90065,3232224595,Metro,Yes,RRTC,No EZ Passes
Hawthorne Quick Check,12823 S. Prairie Ave.,Hawthorne,CA,90250,3109781100,Metro,Yes,Both,None
Hollywood Senior Center,1360 N St. Andrews,Los Angeles,CA,90028,3239573906,Metro,No,No,Resident/Seniors Only
Hopertunity Inc.,824A S. Broadway,Los Angeles,CA,90014,2136276270,Metro,No,Both,None
Hums Market,5001 S. Western Ave.,Los Angeles,CA,90062,3232994919,Metro,Yes,RRTC,None
Ideal Check Cashing,864 S. Vermont Ave. ,Los Angeles,CA,90005,2135683536,Metro,Yes,Both,None
Inglewood Senior Center,330 Centinela Ave.,Inglewood,CA,90301,3104125338,Metro,No,No,Resident/Seniors Only
J & H Liquor,1154 W. Venice Blvd.,Los Angeles,CA,90015,2137486033,Metro,Yes,No,None
J & V Macias Inc.,3474 E. First Street,Los Angeles,CA,90063,3232649915,Metro,Yes,Both,None
James Wood Processing Company,2812 James M. Wood Blvd.,Los Angeles,CA,90006,2133883900,Metro,Yes,Both,No EZ Passes
Jennifers Bar,1060 vine st,Los Angeles,CA,90038,3239602503,Metro,Yes,No,No EZ Passes
Jo Anne Darcy Library Canyon Country,28601 Soledad Canyon Road,Santa Clarita,CA,91351,6612512720,Santa Clarita,No,No,No EZ Passes
Johnny's Liqour,4000 Broadway Pl.,Los Angeles,CA,90037,3109384093,Metro,Yes,No,None
Johnnie's Market,2017 N. Eastern Ave.,Los Angeles,CA,90032,3232236626,Metro,Yes,No,None
Jons Market,3334 W. 8th Street,Los Angeles,CA,90005,3234606772,Metro,Yes,No,None
King Liquor,2105 W. Sunset Blvd.,Los Angeles,CA,90026,6266273598,Metro,No,No,No EZ Passes
Korean Senior Club,3807 wilshire blvd.,Los Angeles,CA,90010,2137389988,Metro,No,No,No EZ Passes
La Cienega Check Casking,8506 W. 3rd. St. ,Los Angeles,CA,90048,3106528100,Metro,No,Both,None
La Cienega Community Center,8400 Gregory Way,Beverly Hills,CA,90211,3102856810,Metro,No,No,Resident/Seniors Only
LA County Tax Collector,225 N. Hill St. Room 114,Los Angeles,CA ,90012,2139742140,Foothill Transit,,,
LA Job Corps,1106 S. Broadway,Los Angeles,CA,90015,2137415411,Metro,No,No,None
La Mexicana,4800 Compton Ave.,Los Angeles,CA,90011,3232314765,Metro,Yes,Both,None
LA Trade Tech,400 W. Washington Blvd.,Los Angeles,CA,90015,2137637225,Metro,Yes,No,None
LA Tourism Visitors Center,6801 Hollywood Blvd. Suite #104,Hollywood,CA,90028,3234676412,Metro,No,No,None
LA City College,855 N. Vermont,Los Angeles,CA,90029,3239534000,Metro,No,No,None
LADOT,201 N Los Angeles St # 18B,Los Angeles,CA,90012,2138082273,Metro,No,Both,None
Lakeview Farm Market,11950 Foothill Blvd.,Lake View Terrace,CA,91342,8188343350,Metro,Yes,Both,No EZ Passes
Langely Senior Center,400 W. Emerson Ave.,Monterey Park,CA,91754,6263071395,Metro,No,No,Resident/Seniors Only
Laurel Canyon Check Cashing,7945 Laurel Canyon Blvd.,North Hollywood,CA,91605,8187648027,Metro,Yes,RRTC,None
Liquor To GoGo,5901 Hollywood Blvd.,Hollywood,CA,90028,3234622891,Metro,Yes,No,None
Liquor Zone,424S. Central Ave.,Glendale ,CA,91204,8185007612,Metro,Yes,Both,None
Long Beach Transit & Visitor Center,130 E. 1st Street,Long Beach,CA,90802,5625912301,Long Beach Transit and EZ Passes,No,RRTC,No Metro Passes
Los Hermanos Market,7715 Pearblossom Hwy.,Littlerock,CA,93552,6615266570,AVTA,No,,No EZ Passes
Mail America,37951 47th Street East Suite A7,Palmdale,CA,93552,6612853000,Metro AVTA,No,No,No EZ Passes
Mail America,2551 E. Ave S Suite G,Palmdale,CA,93550,6612730999,Metro AVTA,No,No,No EZ Passes
Mail America,1752 East Avenue J,Lancaster,CA,93535,6619406343,Metro AVTA,No,No,No EZ Passes
Mail America,1025 W. Ave I,Lancaster,CA,93535,6619456060,AVTA,No,,No EZ Passes
Mail America Albertson's Center,18565 Soledad Canyon Road,Santa Clarita,CA,91351,6612992295,Santa Clarita & EZ Passes,No,No,None
Mail N More,2851 W. Avenue L,Lancaster,CA,93536,6617224555,Metro,No,No,No EZ Passes
Maple Liquor,1234 S. Maple St. ,Los Angeles,CA,90015,2137470306,Metro,Yes,RRTC,None
Martin Pharmacy,801 S. Vermont Avenue #104,Los Angeles,CA,90005,2133829718,Metro,Yes,RRTC,No EZ Passes
Maywood Check Cashing,3436 Slauson Ave.,Maywood,CA,90270,3235810933,Metro,Yes,No,No EZ Passes
Metro Customer Center East Portal,One Gateway Plaza,Los Angeles,CA,90012,,Metro Foothill Transit LADOT,Yes,Both,None
Metro Customer Center,4501 B. Whittier Blvd.,Los Angeles,CA,90022,,Metro,Yes,Both,None
Metro Customer Center,3183 W. Wilshire Blvd Unit #174,Los Angeles,CA,90010,,Metro,Yes,Both,None
Metro Customer Center,3650 W. Martin Luther King Blvd. Suite 101 B,Los Angeles,CA,90008,,Metro Foothill Transit,Yes,Both,None
Mexico Check Cashing,4007 S. San Pedro,Los Angeles,CA,90011,3232333120,Metro,Yes,No,No EZ Passes
Midtown Cashing,7200 S Broadway,Los Angeles,CA,90003,3237598894,Metro ,1,Both,None
Mike's Liquor,9311 San Fernando Rd.#102,Sun Valley,CA,91352,8187670152,Metro,Yes,No,None
Money Express,2602 E. Florence Ave.,Huntington Park,CA,90255,3235821777,Metro,Yes,Both,None
Montebello Transportation,400 S. Taylor Avenue,Montebello,CA,90640,3239627711,Metro/MBL,No,Both,No EZ Passes
Mt. San Antonio College,1100 Grand Ave.,Walnut,CA,91789,9095945611,Metro,No,No,None
Mundo Check Cashing,3821 E. Whittier Blvd.,Los Angeles,CA,90023,3238992184,Metro,Yes,Both,None
Mundo Check Cashing,1713 E. Vernon Ave #113,Los Angeles ,CA,90058,2132351111,Metro,Yes,Both,None
Mundo Check Cashing,5342 E. Whittier Blvd,Los Angeles,CA,90022,3237267001,Metro,Yes,Both,None
Mundo Check Cashing,2261 W. Pico Blvd.,Los Angeles,CA,90006,2133883848,Metro,Yes,Both,None
Mundo Check Cashing,705 S Atlantic Blvd,Los Angeles,CA,90022,3232660661,Metro,Yes,Both,None
Mundo Check Cashing,2411 W. Olympic Blvd.,Los Angeles,CA,90006,2133658065,Metro,1,Both,None
Mundo Check Cashing,6479 N. Figueroa Avenue,Highland Park,CA,90042,3232540082,Metro,Yes,Both,None
Mundo Check Cashing,2087 N. Fair Oaks Ave. #B,Altadena,CA,91001,6267979077,Metro,Yes,Both,None
Nelson Liquor,4420 W. Victory Blvd.,Burbank,CA,91505,8188469911,Metro,Yes,RRTC,None
Newhall Community Center,22421 Market Street,Santa Clarita,CA,91355,6612864006,Santa Clarita,No,No,No EZ  Passes
New Hampshire Check Cashing,3525 W. 3rd Street #5,Los Angeles,CA,90020,2133838840,Metro,Yes,Both,None
New Tower Check Cashing,9211 Whittier Blvd.,Pico Rivera,CA,90660,5626997112,Metro,Yes,Both,No EZ Passes
New Tower Check Cashing,5401 N Figueuroa,Los Angeles,CA,90042,3232549516,Metro,Yes,Both,No EZ Passes
Normandy Pharmacy ,3003 W. Olympic Blvd. #101,Los Angeles,CA,90006,2133863001,Metro,Yes,No,No EZ Passes
North East Food Stamps,2409 N. Daly St.,Los Angeles,CA,90031,3232256285,Metro,Yes,Both,None
North East Food Stamps,10103 Valley Blvd.,El Monte,CA,91731,6264436692,Metro,Yes,Both,None
Norwalk Transit,12650 E. Imperial Hwy.,Norwalk,CA,90650,5629295550,Metro,Yes,Both,None
Ocean Liquor,760 S. Alvarado Street,Los Angeles,CA,90057,2134837449,Metro,Yes,No,No EZ Passes
Old Town Newhall Library,24500 Main Street,Santa Clarita,CA,91321,6612590750,Santa Clarita,No,0,No EZ Passes
Olympia Pharmacy,3323 W. Olympic Blvd.,Los Angeles,CA,90019,3237347385,Metro,Yes,No,None
Olympic Check Cashing,3352 E. Olympic Blvd.,Los Angeles,CA,90023,3232610985,Metro,Yes,Both,None
Olympic Hernandez Market,4269 E. Olympic Blvd.,Los Angeles,CA,90023,3232646060,Metro,Yes,RRTC,None
One Stop Services,2272 Colorado Blvd.,Los Angeles,CA,90041,3232566458,Metro,Yes,RRTC,None
OSO Market,40340 170th Street E #2,Lake Los Angeles,CA,93591,6612644536,Metro,No,No,No EZ Passes
OT Liquor,1920 E. Olympic Blvd,Los Angeles,CA,90021,2136140018,Metro,No,No,No EZ Passes
P & M Market,2856 Sunset Blvd.,Los Angeles,CA,90026,3236637347,Metro,Yes,Both,None
Pasadena City College,1580 E. Colorado Blvd.,Pasadena,CA,91106,6265857123,Metro Foothill Transit,No,No,None
Payless Foods,4840 Peck Rd.,El Monte,CA,91732, ,,,,
Phil's Discount Store,1451 W. 3rd St.,Los Angeles,CA,90017,2134821791,Metro,Yes,Both,None
Phoenix Check Cashing,4373 S. Central Ave.,Los Angeles,CA,90011,3232355895,Metro,Yes,Both,None
Plaza Check Cashing,1614 W. Washington,Los Angeles,CA,90007,3237354327,Metro,Yes,Both,None
